"","area","location","Timepoint","date","water_temp","nest_ID","Nest_size","Live_eggs","Egg_squares","Eyed","male","length","weight","canibalism","hatched_in_box"
"143","Kristineberg","Pittleholmen","2","08.06.2022",NA,5,"s","y",11,"y","y",48,87,"y",""
"144","Austevoll","Lamoya","3","22.07.2022",NA,16,"l","y",57,"y","y",48,85,"n",""
"145","Austevoll","Krabbavika","3","21.07.2022",15.9,1,"s","y",25,"y","y",48,76,"n",""
"146","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,16,"l","y",0,"","y",48,86,"","y"
"147","Austevoll","Krabbavika","2","19.06.2022",12.9,1,"s","y",8,"y","y",48,86,"n","y"
"148","Austevoll","Krabbavika","2","19.06.2022",12.9,24,"l","y",34,"n","y",48,95,"n",""
"149","Helligvaer","Store-kvannoya","2","10.06.2022",NA,7,"s","y",28,"n","y",48,83,"n",""
"150","Helligvaer","Litj-sorroy","3","04.07.2022",13.6,26,"l","y",87.5,"y","y",48,86,"y",""
"151","Hitra","Teistholmen 10","3","08.07.2022",13,10,"l","y",97.5,"y","y",48.5,94,"n",""
"152","Kristineberg","Pittleholmen","3","12.07.2022",NA,19,"s","y",7,"n","y",48.5,78,"n",""
"153","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,12,"l","y",54,"y","y",48.5,97,"y",""
"154","Helligvaer","Store-kvannoya","2","10.06.2022",NA,17,"s","y",29,"n","y",48.5,74,"y",""
"155","Arendal","Sven Johnsens","3","20.07.2022",16.6,8,"l","n",0,"","y",49,104,"",""
"156","Arendal","Sven Johnsens","2","22.06.2022",14.6,20,"l","y",91,"n","y",49,101,"n",""
"157","Arendal","Langrumpa","2","21.06.2022",14.5,16,"l","y",54,"n","y",49,99,"n",""
"158","Kristineberg","Pittleholmen","3","12.07.2022",NA,10,"l","y",44,"y","y",49,94,"y",""
"159","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,21,"s","y",11,"n","y",49,98,"y",""
"160","Kristineberg","Tjallsoholmen","3","11.07.2022",18.5,26,"l","y",60,"n","y",49,88,"y",""
"161","Kristineberg","Pittleholmen","2","08.06.2022",NA,15,"s","y",15,"n","y",49,106,"y",""
"162","Kristineberg","Pittleholmen","2","08.06.2022",NA,10,"l","n",0,"","y",49,100,"",""
"163","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,20,"l","y",18.5,"n","y",49,100,"y",""
"164","Austevoll","Lamoya","2","20.0.2022",13.9,16,"l","y",36,"y","y",49,91,"n",""
"165","Helligvaer","Litj-sorroy","3","04.07.2022",13.6,15,"s","y",9,"y","y",49,89,"y","y"
"166","Helligvaer","Litj-sorroy","3","04.07.2022",13.6,21,"s","y",24,"n","y",49,90,"y",""
"167","Helligvaer","Litj-sorroy","3","04.07.2022",13.6,22,"l","y",74.5,"y","y",49,85,"y","y"
"168","Arendal","St Helena","3","19.07.2022",17.3,2,"l","y",78,"n","y",49.5,100,"y",""
"169","Arendal","St Helena","2","17.06.2022",NA,22,"l","y",91,"n","y",49.5,97,"y",""
"170","Kristineberg","Tjallsoholmen","2","05.06.2022",14.2,13,"s","y",30,"y","y",49.5,98,"n",""
"171","Helligvaer","Store-kvannoya","2","10.06.2022",NA,19,"s","y",30,"n","y",49.5,87,"n",""
"172","Hitra","Feoya f4-5","2","10.06.2022",10.25,21,"s","y",30,"n","y",50,83,"n",""
"173","Hitra","Teistholmen 10","2","12.06.2022",NA,9,"s","y",34.5,"n","y",50,104,"n",""
"174","Hitra","Teistholmen 10","2","12.06.2022",NA,20,"l","y",95,"y","y",50,90,"n",""
"175","Hitra","Feoya f4-5","3","10.07.2022",12.8,10,"l","y",85,"y","y",50,112,"y",""
"176","Kristineberg","Blabergsholmen","3","15.07.2022",NA,30,"l","y",36,"y","y",50,99,"n","y"
