"","area","location","Timepoint","date","water_temp","nest_ID","Nest_size","Live_eggs","Egg_squares","Eyed","male","length","weight","canibalism","hatched_in_box"
"513","Austevoll","Lamoya","2","20.0.2022",13.9,1,"s","y",24.5,"y","n",NA,NA,"y",""
"514","Austevoll","Lamoya","2","20.0.2022",13.9,2,"l","n",0,"","n",NA,NA,"",""
"515","Austevoll","Lamoya","2","20.0.2022",13.9,3,"s","y",7.5,"n","n",NA,NA,"n",""
"516","Austevoll","Lamoya","2","20.0.2022",13.9,5,"s","n",0,"","n",NA,NA,"",""
"517","Austevoll","Lamoya","2","20.0.2022",13.9,6,"l","y",3,"y","n",NA,NA,"n",""
"518","Austevoll","Lamoya","2","20.0.2022",13.9,9,"s","n",0,"","n",NA,NA,"",""
"519","Austevoll","Lamoya","2","20.0.2022",13.9,10,"l","n",0,"","n",NA,NA,"",""
"520","Austevoll","Lamoya","2","20.0.2022",13.9,13,"s","y",25.5,"n","",NA,NA,"",""
"521","Austevoll","Lamoya","2","20.0.2022",13.9,14,"l","n",0,"","",NA,NA,"",""
"522","Austevoll","Krabbavika","2","19.06.2022",12.9,2,"l","y",21,"y","n",NA,NA,"n",""
"523","Austevoll","Krabbavika","2","19.06.2022",12.9,3,"s","y",6.5,"n","n",NA,NA,"n",""
"524","Austevoll","Krabbavika","2","19.06.2022",12.9,4,"l","y",11,"n","n",NA,NA,"n",""
"525","Austevoll","Krabbavika","2","19.06.2022",12.9,5,"s","y",25,"y","n",NA,NA,"n",""
"526","Austevoll","Krabbavika","2","19.06.2022",12.9,6,"l","y",25.5,"y","n",NA,NA,"n",""
"527","Austevoll","Krabbavika","2","19.06.2022",12.9,7,"s","y",16,"y","n",NA,NA,"n",""
"528","Austevoll","Krabbavika","2","19.06.2022",12.9,8,"l","y",24.5,"y","n",NA,NA,"n",""
"529","Austevoll","Krabbavika","2","19.06.2022",12.9,10,"l","y",5,"y","n",NA,NA,"n",""
"530","Austevoll","Krabbavika","2","19.06.2022",12.9,23,"s","n",0,"","",NA,NA,"",""
"531","Austevoll","Krabbavika","2","19.06.2022",12.9,25,"s","n",0,"","",NA,NA,"",""
"532","Austevoll","Krabbavika","2","19.06.2022",12.9,26,"l","n",0,"","",NA,NA,"",""
"533","Austevoll","Krabbavika","2","19.06.2022",12.9,27,"s","n",0,"","",NA,NA,"",""
"534","Austevoll","Krabbavika","2","19.06.2022",12.9,28,"l","n",0,"","",NA,NA,"",""
"535","Helligvaer","Store-kvannoya","2","10.06.2022",NA,14,"l","n",0,"","n",NA,NA,"",""
"536","Helligvaer","Store-kvannoya","2","10.06.2022",NA,16,"l","n",0,"","n",NA,NA,"",""
"537","Helligvaer","Store-kvannoya","2","10.06.2022",NA,1,"s","y",35,"n","n",NA,NA,"y",""
"538","Helligvaer","Store-kvannoya","2","10.06.2022",NA,2,"l","n",0,"","n",NA,NA,"",""
"539","Helligvaer","Store-kvannoya","2","10.06.2022",NA,3,"s","y",8,"n","n",NA,NA,"y",""
"540","Helligvaer","Store-kvannoya","2","10.06.2022",NA,4,"l","n",0,"","n",NA,NA,"",""
"541","Helligvaer","Gudmunholmen","2","12.06.2022",NA,21,"s","n",0,"","n",NA,NA,"",""
"542","Helligvaer","Gudmunholmen","2","12.06.2022",NA,22,"l","n",0,"","n",NA,NA,"",""
"543","Helligvaer","Gudmunholmen","2","12.06.2022",NA,25,"s","y",20,"n","n",NA,NA,"n",""
"544","Helligvaer","Gudmunholmen","2","12.06.2022",NA,26,"l","n",0,"","n",NA,NA,"",""
"545","Helligvaer","Gudmunholmen","2","12.06.2022",NA,28,"l","y",39,"n","n",NA,NA,"y",""
"546","Helligvaer","Gudmunholmen","2","12.06.2022",NA,29,"s","y",26,"y","n",NA,NA,"y",""
"547","Helligvaer","Gudmunholmen","2","12.06.2022",NA,30,"l","n",0,"","n",NA,NA,"",""
"548","Helligvaer","Gudmunholmen","2","12.06.2022",NA,2,"l","y",10,"n","n",NA,NA,"y",""
"549","Helligvaer","Gudmunholmen","2","12.06.2022",NA,5,"s","y",2,"y","n",NA,NA,"n","y"
"550","Helligvaer","Gudmunholmen","2","12.06.2022",NA,6,"l","y",10,"n","n",NA,NA,"",""
"551","Helligvaer","Gudmunholmen","2","12.06.2022",NA,7,"s","y",2,"n","n",NA,NA,"y",""
"552","Helligvaer","Gudmunholmen","2","12.06.2022",NA,8,"l","n",0,"","n",NA,NA,"",""
"553","Helligvaer","Gudmunholmen","2","12.06.2022",NA,9,"s","n",0,"","n",NA,NA,"",""
"554","Helligvaer","Litj-sorroy","2","13.06.2022",10,21,"","",NA,"","",NA,NA,"",""
"555","Helligvaer","Litj-sorroy","2","13.06.2022",10,22,"l","n",0,"","n",NA,NA,"",""
"556","Helligvaer","Litj-sorroy","2","13.06.2022",10,23,"s","n",0,"","n",NA,NA,"",""
"557","Helligvaer","Litj-sorroy","2","13.06.2022",10,24,"l","n",0,"","n",NA,NA,"",""
"558","Helligvaer","Litj-sorroy","2","13.06.2022",10,25,"s","n",0,"","n",NA,NA,"",""
"559","Helligvaer","Litj-sorroy","2","13.06.2022",10,26,"l","n",0,"","n",NA,NA,"",""
"560","Helligvaer","Litj-sorroy","2","13.06.2022",10,27,"s","n",0,"","n",NA,NA,"",""
"561","Helligvaer","Litj-sorroy","2","13.06.2022",10,13,"s","y",11,"y","n",NA,NA,"y",""
"562","Helligvaer","Litj-sorroy","2","13.06.2022",10,15,"s","n",0,"","n",NA,NA,"",""
"563","Helligvaer","Litj-sorroy","2","13.06.2022",10,16,"l","n",0,"","n",NA,NA,"",""
"564","Helligvaer","Litj-sorroy","2","13.06.2022",10,17,"s","n",0,"","n",NA,NA,"",""
"565","Helligvaer","Litj-sorroy","2","13.06.2022",10,19,"","",NA,"","",NA,NA,"",""
"566","Helligvaer","Litj-sorroy","2","13.06.2022",10,20,"l","n",0,"","n",NA,NA,"",""
"567","Helligvaer","Gudmunholmen","3","05.07.2022",NA,1,"s","y",24.5,"y","n",NA,NA,"n",""
"568","Helligvaer","Gudmunholmen","3","05.07.2022",NA,2,"l","y",2,"y","n",NA,NA,"","y"
"569","Helligvaer","Gudmunholmen","3","05.07.2022",NA,4,"l","n",0,"","n",NA,NA,"",""
"570","Helligvaer","Gudmunholmen","3","05.07.2022",NA,5,"s","n",0,"","n",NA,NA,"",""
"571","Helligvaer","Gudmunholmen","3","05.07.2022",NA,6,"l","n",0,"","n",NA,NA,"",""
"572","Helligvaer","Gudmunholmen","3","05.07.2022",NA,7,"s","n",0,"","n",NA,NA,"y","y"
"573","Helligvaer","Gudmunholmen","3","05.07.2022",NA,8,"l","y",36.5,"y","n",NA,NA,"y",""
"574","Helligvaer","Gudmunholmen","3","05.07.2022",NA,9,"s","n",0,"","n",NA,NA,"",""
"575","Helligvaer","Gudmunholmen","3","05.07.2022",NA,21,"s","n",0,"","n",NA,NA,"",""
"576","Helligvaer","Gudmunholmen","3","05.07.2022",NA,22,"l","y",25,"y","n",NA,NA,"",""
"577","Helligvaer","Gudmunholmen","3","05.07.2022",NA,24,"l","n",0,"","n",NA,NA,"",""
"578","Helligvaer","Gudmunholmen","3","05.07.2022",NA,25,"s","y",6.5,"y","n",NA,NA,"y",""
"579","Helligvaer","Gudmunholmen","3","05.07.2022",NA,26,"l","y",4,"y","n",NA,NA,"","y"
"580","Helligvaer","Gudmunholmen","3","05.07.2022",NA,27,"s","y",15.5,"y","n",NA,NA,"y","y"
"581","Helligvaer","Gudmunholmen","3","05.07.2022",NA,28,"l","n",0,"","n",NA,NA,"",""
"582","Helligvaer","Litj-sorroy","3","04.07.2022",13.6,11,"s","y",5,"n","n",NA,NA,"y",""
"583","Helligvaer","Litj-sorroy","3","04.07.2022",13.6,16,"l","n",0,"","n",NA,NA,"",""
"584","Helligvaer","Litj-sorroy","3","04.07.2022",13.6,18,"l","n",0,"","n",NA,NA,"",""
"585","Helligvaer","Litj-sorroy","3","04.07.2022",13.6,19,"s","",NA,"","",NA,NA,"",""
"586","Helligvaer","Litj-sorroy","3","04.07.2022",13.6,20,"l","n",0,"","n",NA,NA,"",""
"587","Helligvaer","Litj-sorroy","3","04.07.2022",13.6,23,"s","n",0,"","n",NA,NA,"",""
"588","Helligvaer","Litj-sorroy","3","04.07.2022",13.6,24,"l","n",0,"","n",NA,NA,"",""
"589","Helligvaer","Litj-sorroy","3","04.07.2022",13.6,27,"s","y",1,"n","n",NA,NA,"","y"
"590","Helligvaer","Litj-sorroy","3","04.07.2022",13.6,29,"s","n",0,"","n",NA,NA,"",""
"591","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,11,"s","y",24,"n","n",NA,NA,"y",""
"592","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,12,"l","y",1,"y","n",NA,NA,"y",""
"593","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,13,"s","n",0,"","n",NA,NA,"",""
"594","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,14,"l","y",1,"y","n",NA,NA,"y","y"
"595","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,16,"l","y",16,"n","n",NA,NA,"y",""
"596","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,17,"s","y",18.5,"y","n",NA,NA,"y",""
"597","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,18,"l","n",0,"","n",NA,NA,"",""
"598","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,19,"s","y",2,"y","n",NA,NA,"y",""
"599","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,1,"s","y",28,"y","n",NA,NA,"y",""
"600","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,2,"l","y",2.5,"y","n",NA,NA,"y",""
"601","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,5,"s","y",10.5,"y","n",NA,NA,"y",""
"602","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,6,"l","y",29,"n","n",NA,NA,"y",""
"603","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,7,"s","y",3,"y","n",NA,NA,"y","y"
"604","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,8,"l","y",35,"y","n",NA,NA,"y",""
"605","Helligvaer","Store-kvannoya","3","07.07.2022",12.4,10,"l","y",13,"y","n",NA,NA,"y","y"
"606","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,12,"l","n",0,"","n",NA,NA,"",""
"607","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,13,"s","n",0,"","n",NA,NA,"",""
"608","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,14,"l","n",0,"","n",NA,NA,"",""
"609","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,15,"s","n",0,"","n",NA,NA,"",""
"610","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,16,"l","n",0,"","n",NA,NA,"",""
"611","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,17,"s","n",0,"","n",NA,NA,"",""
"612","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,18,"l","n",0,"","n",NA,NA,"",""
"613","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,19,"s","n",0,"","n",NA,NA,"",""
"614","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,1,"s","n",0,"","n",NA,NA,"",""
"615","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,2,"l","n",0,"","n",NA,NA,"",""
"616","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,5,"s","y",26,"n","y",NA,NA,"n",""
"617","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,6,"l","n",0,"","n",NA,NA,"",""
"618","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,7,"s","n",0,"","n",NA,NA,"",""
"619","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,8,"l","n",0,"","n",NA,NA,"",""
"620","Ringstad","Dragan Hammaran","2","22.06.2022",11.7,9,"s","n",0,"","n",NA,NA,"",""
"621","Ringstad","Finnoya","2","26.06.2022",12.5,21,"s","n",0,"","n",NA,NA,"",""
"622","Ringstad","Finnoya","2","26.06.2022",12.5,22,"l","n",0,"","n",NA,NA,"",""
"623","Ringstad","Finnoya","2","26.06.2022",12.5,23,"s","n",0,"","n",NA,NA,"",""
"624","Ringstad","Finnoya","2","26.06.2022",12.5,24,"l","n",0,"","n",NA,NA,"",""
"625","Ringstad","Finnoya","2","26.06.2022",12.5,27,"s","n",0,"","n",NA,NA,"",""
"626","Ringstad","Finnoya","2","26.06.2022",12.5,30,"l","n",0,"","n",NA,NA,"",""
"627","Ringstad","Hongvaeret","2","27.06.2022",11.7,11,"s","n",0,"","n",NA,NA,"",""
"628","Ringstad","Hongvaeret","2","27.06.2022",11.7,12,"l","n",0,"","n",NA,NA,"",""
"629","Ringstad","Hongvaeret","2","27.06.2022",11.7,13,"s","n",0,"","n",NA,NA,"",""
"630","Ringstad","Hongvaeret","2","27.06.2022",11.7,14,"l","n",0,"","n",NA,NA,"",""
"631","Ringstad","Hongvaeret","2","27.06.2022",11.7,15,"s","n",0,"","n",NA,NA,"",""
"632","Ringstad","Hongvaeret","2","27.06.2022",11.7,16,"l","n",0,"","n",NA,NA,"",""
"633","Ringstad","Hongvaeret","2","27.06.2022",11.7,17,"s","n",0,"","n",NA,NA,"",""
"634","Ringstad","Hongvaeret","2","27.06.2022",11.7,20,"l","n",0,"","n",NA,NA,"",""
"635","Ringstad","Hongvaeret","2","27.06.2022",11.7,1,"s","n",0,"","n",NA,NA,"",""
"636","Ringstad","Hongvaeret","2","27.06.2022",11.7,2,"l","y",81,"y","n",NA,NA,"y",""
"637","Ringstad","Hongvaeret","2","27.06.2022",11.7,3,"s","n",0,"","n",NA,NA,"",""
"638","Ringstad","Hongvaeret","2","27.06.2022",11.7,5,"s","n",0,"","n",NA,NA,"",""
"639","Ringstad","Hongvaeret","2","27.06.2022",11.7,6,"l","n",0,"","n",NA,NA,"",""
"640","Ringstad","Hongvaeret","2","27.06.2022",11.7,9,"s","n",0,"","n",NA,NA,"",""
"641","Ringstad","Hongvaeret","2","27.06.2022",11.7,10,"l","n",0,"","n",NA,NA,"",""
"642","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,11,"s","y",1,"y","n",NA,NA,"y",""
"643","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,12,"l","n",0,"","n",NA,NA,"",""
"644","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,13,"s","n",0,"","n",NA,NA,"",""
"645","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,14,"l","n",0,"","n",NA,NA,"",""
"646","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,15,"s","n",0,"","n",NA,NA,"",""
"647","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,16,"l","n",0,"","n",NA,NA,"",""
"648","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,17,"s","n",0,"","n",NA,NA,"",""
"649","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,18,"l","n",0,"","n",NA,NA,"",""
"650","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,19,"s","n",0,"","n",NA,NA,"",""
"651","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,20,"l","n",0,"","n",NA,NA,"",""
"652","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,1,"s","n",0,"","n",NA,NA,"",""
"653","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,5,"s","n",0,"","n",NA,NA,"",""
"654","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,6,"l","n",0,"","n",NA,NA,"",""
"655","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,7,"s","n",0,"","n",NA,NA,"",""
"656","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,8,"l","n",0,"","n",NA,NA,"",""
"657","Ringstad","Dragan Hammaran","3","16.07.2022",12.9,9,"s","n",0,"","n",NA,NA,"",""
"658","Ringstad","Finnoya","3","18.07.2022",13.2,25,"s","n",0,"","n",NA,NA,"",""
"659","Ringstad","Finnoya","3","18.07.2022",13.2,26,"l","n",0,"","n",NA,NA,"",""
"660","Ringstad","Finnoya","3","18.07.2022",13.2,27,"s","n",0,"","n",NA,NA,"",""
"661","Ringstad","Finnoya","3","18.07.2022",13.2,28,"l","n",0,"","n",NA,NA,"",""
"662","Ringstad","Finnoya","3","18.07.2022",13.2,30,"l","y",29,"y","n",NA,NA,"y",""
"663","Ringstad","Finnoya","3","18.07.2022",13.2,11,"s","y",1,"n","n",NA,NA,"y",""
"664","Ringstad","Finnoya","3","18.07.2022",13.2,12,"l","n",0,"n","n",NA,NA,"y",""
"665","Ringstad","Finnoya","3","18.07.2022",13.2,13,"s","y",1,"y","n",NA,NA,"y","y"
"666","Ringstad","Finnoya","3","18.07.2022",13.2,14,"l","n",0,"n","n",NA,NA,"",""
"667","Ringstad","Finnoya","3","18.07.2022",13.2,17,"s","y",6.5,"y","n",NA,NA,"n",""
"668","Ringstad","Finnoya","3","18.07.2022",13.2,19,"s","y",1.5,"y","n",NA,NA,"n",""
"669","Ringstad","Hongvaeret","3","20.07.2022",14,11,"s","n",0,"","n",NA,NA,"",""
"670","Ringstad","Hongvaeret","3","20.07.2022",14,12,"l","n",0,"","n",NA,NA,"",""
"671","Ringstad","Hongvaeret","3","20.07.2022",14,13,"s","y",1,"","n",NA,NA,"",""
"672","Ringstad","Hongvaeret","3","20.07.2022",14,14,"l","n",0,"","n",NA,NA,"",""
"673","Ringstad","Hongvaeret","3","20.07.2022",14,15,"s","n",0,"","n",NA,NA,"",""
"674","Ringstad","Hongvaeret","3","20.07.2022",14,16,"l","n",0,"","n",NA,NA,"",""
"675","Ringstad","Hongvaeret","3","20.07.2022",14,17,"s","n",0,"","n",NA,NA,"",""
"676","Ringstad","Hongvaeret","3","20.07.2022",14,18,"l","y",1,"n","n",NA,NA,"",""
"677","Ringstad","Hongvaeret","3","20.07.2022",14,19,"s","n",0,"","n",NA,NA,"",""
"678","Ringstad","Hongvaeret","3","20.07.2022",14,20,"l","n",0,"","n",NA,NA,"",""
"679","Ringstad","Hongvaeret","3","20.07.2022",14,2,"l","n",0,"","n",NA,NA,"",""
"680","Ringstad","Hongvaeret","3","20.07.2022",14,3,"s","n",0,"","n",NA,NA,"",""
"681","Ringstad","Hongvaeret","3","20.07.2022",14,4,"l","n",0,"","n",NA,NA,"",""
"682","Ringstad","Hongvaeret","3","20.07.2022",14,5,"s","n",0,"","n",NA,NA,"",""
"683","Ringstad","Hongvaeret","3","20.07.2022",14,6,"l","n",0,"","n",NA,NA,"",""
"684","Ringstad","Hongvaeret","3","20.07.2022",14,8,"l","n",0,"","n",NA,NA,"",""
"685","Ringstad","Hongvaeret","3","20.07.2022",14,9,"s","n",0,"","n",NA,NA,"",""
"686","Ringstad","Hongvaeret","3","20.07.2022",14,10,"l","n",0,"","n",NA,NA,"",""
